fallecidos,n_personas,edad,sexo,todos_con_seguridad,C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,V_YEAR
0,1,17,F,False,01,1,00,01,01,01,1,4,1,18,06,1991
0,1,30,M,True,01,1,00,01,01,01,1,5,1,18,01,1981
0,1,20,M,False,01,1,00,01,01,01,2,1,1,18,01,1990
0,1,,,False,01,1,00,01,01,01,6,3,2,18,01,
0,1,36,M,False,01,1,00,01,01,,1,2,3,18,01,1986
0,2,27,M,False,01,1,00,02,04,05,2,3,4,18,07,
0,2,41,M,True,01,1,00,02,04,05,2,3,4,18,07,
0,2,18,M,False,01,1,00,02,21,02,1,5,1,01,06,1989
0,1,16,F,False,01,1,00,02,21,02,1,5,1,01,01,1991
0,1,27,M,False,01,1,00,02,21,02,4,5,1,01,01,1986
0,1,33,F,False,01,1,00,02,21,02,4,5,1,01,01,1987
0,1,29,M,False,01,1,00,02,21,,,,1,01,01,1987
0,2,30,M,False,01,1,00,02,21,,,,1,01,01,1986
0,2,30,M,False,01,1,00,02,34,02,4,3,1,01,01,1998
0,1,,M,False,01,1,00,02,34,02,4,3,1,01,01,1992
0,1,26,F,False,01,1,00,02,35,02,2,5,1,03,01,1989
0,1,34,M,False,01,1,00,02,35,02,2,5,1,03,07,1995
0,2,25,M,False,01,1,00,02,41,01,1,5,1,18,01,1994
0,1,,,False,01,1,00,02,41,01,1,5,1,18,07,1996
0,1,45,M,False,01,1,00,09,01,01,3,5,1,18,08,1993
0,2,32,M,False,01,1,00,09,01,01,3,5,1,18,08,1998
0,1,24,M,False,01,1,00,09,01,01,3,5,1,18,08,1997
0,1,46,M,False,01,1,00,09,01,01,3,5,1,18,08,1998
0,1,45,M,False,01,1,00,09,01,01,3,5,1,18,08,1997
0,2,23,M,False,01,1,00,09,01,01,3,5,1,18,01,1998
0,4,48,M,False,01,1,00,09,01,01,3,5,1,18,06,1994
0,3,31,M,False,01,1,00,09,01,01,3,5,1,18,01,1994
0,4,30,M,False,01,1,00,09,01,01,3,5,1,18,01,1998
0,3,28,F,False,01,1,01,01,01,02,1,5,1,01,06,1999
0,1,18,M,False,01,1,01,01,02,08,1,1,3,10,01,1995
0,3,20,M,False,01,1,01,01,04,01,2,5,4,18,06,1998
0,4,16,F,False,01,1,01,01,04,01,3,2,1,18,01,1980
0,1,43,M,False,01,1,01,01,06,01,1,1,1,18,01,1996
0,2,22,M,False,01,1,01,01,,,1,2,5,,06,1985
0,1,28,M,False,01,1,01,02,21,01,2,3,1,18,06,1991
0,1,33,M,False,01,1,01,02,21,01,2,3,1,18,07,1991
0,1,20,M,False,01,1,01,02,21,02,2,5,1,18,01,1989
0,1,40,M,False,01,1,01,02,21,02,2,5,1,18,07,1987
0,1,46,M,False,01,1,01,02,34,03,1,3,3,18,06,1989
0,3,19,M,False,01,1,01,02,35,02,2,2,2,01,01,1977
0,1,47,M,False,01,1,01,02,35,02,2,2,2,01,01,1998
0,1,30,F,False,01,1,02,01,01,01,3,2,1,18,01,1998
0,2,19,M,False,01,1,02,01,01,01,4,3,1,18,01,1993
0,1,23,M,False,01,1,02,01,01,02,4,3,3,18,01,1986
0,3,22,M,False,01,1,02,01,01,02,5,5,1,03,06,1991
0,2,28,M,False,01,1,02,01,04,01,4,5,4,18,01,1984
0,1,33,F,False,01,1,02,01,04,,1,6,4,18,01,1998
0,1,37,M,False,01,1,02,01,06,02,1,,4,18,01,1998
0,1,27,F,False,01,1,02,02,01,01,5,5,4,18,01,1992
0,1,,,False,01,1,02,02,01,01,5,5,4,18,11,2000
0,1,62,M,False,01,1,02,02,21,01,1,2,3,18,06,1998
0,1,38,F,False,01,1,02,02,21,01,1,2,3,18,01,1999
0,1,26,M,False,01,1,02,02,21,01,4,2,1,18,06,1993
0,1,40,M,False,01,1,02,02,21,01,4,2,1,18,01,1989
0,1,33,F,False,01,1,02,02,34,,1,2,2,01,01,1997
0,1,82,M,False,01,1,02,02,34,,1,2,2,01,01,1990
0,1,21,M,True,01,1,03,01,01,01,1,2,3,18,01,1987
0,1,23,M,False,01,1,03,01,02,01,1,5,1,18,01,1999
0,1,32,M,False,01,1,03,01,02,01,1,5,3,18,01,1995
0,1,29,M,True,01,1,03,01,03,01,7,1,2,18,01,1980
0,2,20,M,False,01,1,03,02,31,01,2,2,2,18,01,1994
0,1,35,M,False,01,1,03,02,31,01,2,2,2,18,01,1997
0,2,32,M,False,01,1,03,02,,01,1,1,1,18,01,1996
0,2,37,M,False,01,1,03,02,,01,1,1,1,18,01,1993
0,2,40,M,True,01,1,03,02,,02,2,3,1,01,01,1990
0,1,36,M,True,01,1,03,02,,02,2,3,1,01,01,1989
0,1,71,F,False,01,1,04,01,01,01,1,1,1,18,01,1994
0,2,49,M,False,01,1,04,01,01,02,4,5,1,18,01,1992
0,1,22,F,False,01,1,04,01,01,02,4,5,1,18,01,1996
0,1,19,F,False,01,1,04,01,04,,2,2,1,,01,1998
0,1,40,M,False,01,1,04,01,06,,1,5,,,07,1993
0,1,48,M,False,01,1,04,02,21,01,1,2,1,18,01,1997
0,1,37,M,False,01,1,04,02,22,,5,,,18,01,1986
0,1,33,M,True,01,1,04,02,22,,5,,,18,01,1992
0,1,60,M,False,01,1,04,02,33,02,1,2,1,18,01,1989
0,1,52,M,False,01,1,04,02,33,02,1,2,1,18,01,1988
0,1,22,M,False,01,1,04,02,34,02,7,4,1,01,06,1986
0,1,42,F,False,01,1,04,02,34,02,7,4,1,01,06,1995
0,1,41,M,False,01,1,04,02,35,,2,2,,,08,1994
0,1,21,M,False,01,1,04,02,35,,2,2,,,01,1991
0,1,39,F,False,01,1,05,01,01,01,4,3,1,18,01,1990
0,1,46,M,False,01,1,05,01,01,01,5,5,2,18,06,1999
0,1,27,M,False,01,1,05,01,04,01,1,5,3,18,01,1994
0,1,54,F,False,01,1,05,01,05,01,4,5,3,18,01,1997
0,1,50,F,False,01,1,05,01,06,,1,,,03,01,1993
